,ROS,Current Ratio,Quick Ratio,Absolute Ratio
2024-09-30,31.510222870075566,,,
2023-09-30,29.821412265024723,,,
2022-09-30,30.288744395528592,,,
2021-09-30,29.782377527561593,,,
2020-09-30,,,,
2024-09-30 00:00:00,,0.8155300014975133,0.758104305744934,0.23600022068617638
2023-09-30 00:00:00,,0.9824081274047444,0.9184734859578078,0.3026064651646587
2022-09-30 00:00:00,,0.8281514509579004,0.7823979426647302,0.21873988214725118
2021-09-30 00:00:00,,1.111806958205352,1.0331656129363818,0.41758793369267727
2020-09-30 00:00:00,,,,
