Компания,Дата,ROS,Текущая ликвидность,Быстрая ликвидность,Абсолютная ликвидность
MSFT,2021-06-30,41.5948788729713,-1.3441463056358027,-1.2796112226411398,-0.3482348332762082
AAPL,2021-09-30,29.782377527561593,1.111806958205352,1.0331656129363818,0.41758793369267727
TSLA,2021-12-31,12.069189751593184,1.4142625063021679,1.09175956529046,0.9845947005769985
MSFT,2022-06-30,42.05527815604983,-4.889011682980739,-4.59362172402905,-1.0997000315756236
AAPL,2022-09-30,30.288744395528592,0.8281514509579004,0.7823979426647302,0.21873988214725118
TSLA,2022-12-31,16.979696054602144,1.7965911639381027,1.076754877775286,0.9112469163489572
MSFT,2023-06-30,41.7728806361041,14.849930843706778,14.417704011065007,6.0
AAPL,2023-09-30,29.821412265024723,0.9824081274047444,0.9184734859578078,0.3026064651646587
TSLA,2023-12-31,9.18747997891974,2.647820593809223,1.5718572331017056,1.2948515476942515
MSFT,2024-06-30,44.64429957327371,1.819468563408426,1.7898280086590386,0.4356876085353379
AAPL,2024-09-30,31.510222870075566,0.8155300014975133,0.758104305744934,0.23600022068617638
TSLA,2024-12-31,7.943494728221927,10.732784184514003,6.77331136738056,5.317627677100495
